acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,crash
0.077,-0.841,0.824,4e-05,0.0,6e-05,yes
1.047,-1.573,2.581,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
0.522,1.244,1.283,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
0.042,1.304,1.18,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
1.58,0.827,0.568,1e-05,-1e-05,-1e-05,yes
1.316,-0.9,1.061,-2e-05,-3e-05,-1e-05,yes
1.156,-0.484,0.676,-2e-05,1e-05,-0.0,yes
-0.757,-1.225,0.943,-1e-05,3e-05,-4e-05,yes
1.388,0.331,1.522,0.0009031636231884057,0.0025382539130434784,0.028976579710144928,yes
1.829,0.063,1.813,-4e-05,2e-05,-1e-05,yes
-0.211,0.946,0.775,0.0,1e-05,0.0,yes
-9.131908,-13.211372,8.813962,0.06184829,0.21761434,0.9994225,yes
-4.449753,-19.133907,10.068699,-0.0,-0.04222482,1.0004915,yes
