acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,crash
0.064,0.0,1.056,-1.95313,0.0,0.0,yes
0.096,0.0,0.96,-1.95313,0.0,0.0,yes
-0.032,0.0,1.184,0.0,0.0,0.0,yes
-0.051,0.044,1.105,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.126,-0.013,1.257,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.079,0.037,1.22,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.607,-0.093,1.047,1.95313,0.0,0.0,yes
-0.467,-0.187,1.0,0.0,0.0,0.0,yes
-0.374,-0.047,0.813,0.0,1.95313,0.0,yes
-0.368,-0.186,0.909,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.369,-0.191,0.911,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.377,-0.185,0.904,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.42,-0.14,0.907,9.76563,1.95313,48.82813,yes
-0.374,-0.093,0.86,87.89063,136.71875,-23.4375,yes
-0.42,-0.14,0.907,148.4375,66.40625,7.8125,yes
-0.334,-0.082,0.985,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.324,-0.099,0.967,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.346,-0.093,0.999,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.002,-0.001,0.026,0.0,-1e-05,0.0,yes
0.0,-0.035,1.01,0.00026,-0.0004,0.0001,yes
0.001,-0.022,1.017,0.00028,-0.00012,0.0001,yes
-0.004,0.007,1.075,1e-05,0.0,0.0,yes
-0.05,0.02,1.039,1e-05,0.0,0.0,yes
-0.1,0.016,1.025,1e-05,0.0,0.0,yes
0.0,0.0,0.023,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.0,0.0,0.96,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.0,0.0,0.945,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.188,0.0,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.188,0.0,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.188,0.0,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.0,0.0,0.023,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.036,0.028,0.855,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
-0.045,0.054,1.189,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.0,-0.375,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.0,-0.375,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
0.0,-0.375,0.938,0.41018724689165187,0.34743589698046184,0.10098223801065719,yes
